datetime,LWIN,RH,SWIN,T,TP,WD,WS
2016-08-01 00:00:00,959.920,100.971,0.953,275.067,0.003,188.338,1.305
2016-08-01 03:00:00,942.850,92.004,304.719,275.446,0.001,180.546,1.642
2016-08-01 06:00:00,916.802,91.203,1363.505,275.833,0.002,189.922,1.929
2016-08-01 09:00:00,907.160,88.527,1484.939,276.050,0.002,205.733,1.770
2016-08-01 12:00:00,895.563,92.457,747.411,276.030,0.001,208.509,1.036
2016-08-01 15:00:00,872.532,95.062,40.599,275.961,0.000,196.906,0.958
2016-08-01 18:00:00,859.905,97.151,0.000,275.315,0.001,204.699,1.624
2016-08-01 21:00:00,947.357,98.086,0.000,274.993,0.002,205.145,0.790
2016-08-02 00:00:00,924.584,98.050,1.461,274.950,0.000,199.383,0.739
2016-08-02 03:00:00,856.464,90.908,749.504,275.694,0.000,184.562,0.690
2016-08-02 06:00:00,789.686,84.222,2667.923,276.808,0.001,205.249,1.737
2016-08-02 09:00:00,845.287,83.301,2420.963,277.098,0.003,228.790,1.444
2016-08-02 12:00:00,900.272,95.695,746.585,276.843,0.002,221.827,1.268
2016-08-02 15:00:00,896.147,98.159,38.653,276.264,0.001,216.746,1.382
2016-08-02 18:00:00,839.977,101.638,0.000,275.530,0.000,212.256,1.117
2016-08-02 21:00:00,898.821,99.966,0.000,275.419,0.001,231.918,0.331
2016-08-03 00:00:00,912.513,94.365,1.774,275.462,0.000,48.405,0.431
2016-08-03 03:00:00,809.966,83.314,795.933,276.711,0.000,74.143,0.454
2016-08-03 06:00:00,801.849,79.822,2750.407,277.971,0.001,180.389,1.103
2016-08-03 09:00:00,849.703,85.333,2350.267,278.211,0.002,211.817,1.648
2016-08-03 12:00:00,911.753,88.070,754.888,277.330,0.003,212.473,1.141
2016-08-03 15:00:00,879.028,93.330,34.890,277.064,0.000,224.001,0.646
2016-08-03 18:00:00,836.357,99.642,0.000,276.461,0.000,221.210,0.742
2016-08-03 21:00:00,933.713,95.992,0.000,276.171,0.000,326.515,0.351
2016-08-04 00:00:00,907.829,87.316,1.863,276.315,0.000,6.662,0.551
2016-08-04 03:00:00,814.905,79.830,820.147,277.260,0.000,31.537,0.392
2016-08-04 06:00:00,811.010,74.416,2692.623,279.099,0.001,236.809,0.466
