datetime,LWIN,RH,SWIN,T,TP,WD,WS
2016-08-01 00:00:00,989.377,99.938,0.847,277.063,0.003,196.475,0.981
2016-08-01 03:00:00,973.374,92.098,228.253,277.529,0.001,184.804,1.162
2016-08-01 06:00:00,949.296,87.690,896.187,278.194,0.002,194.912,1.652
2016-08-01 09:00:00,940.700,81.892,1040.242,278.589,0.002,209.063,1.706
2016-08-01 12:00:00,926.206,90.864,652.865,278.267,0.001,209.688,0.924
2016-08-01 15:00:00,902.027,95.144,36.088,278.129,0.000,197.286,0.719
2016-08-01 18:00:00,886.854,95.929,0.000,277.350,0.001,208.010,1.047
2016-08-01 21:00:00,977.002,98.491,0.000,276.998,0.002,212.728,0.386
2016-08-02 00:00:00,954.345,97.371,1.299,277.032,0.000,212.345,0.490
2016-08-02 03:00:00,884.831,93.250,451.422,277.762,0.000,199.822,0.468
2016-08-02 06:00:00,818.002,80.593,1657.226,279.207,0.001,206.338,1.587
2016-08-02 09:00:00,871.412,81.175,1821.093,279.147,0.002,220.065,1.169
2016-08-02 12:00:00,929.359,96.832,653.883,278.901,0.002,209.266,1.073
2016-08-02 15:00:00,924.928,96.609,34.358,278.365,0.001,208.419,0.952
2016-08-02 18:00:00,867.719,101.138,0.000,277.653,0.000,208.981,0.605
2016-08-02 21:00:00,926.545,101.056,0.000,277.377,0.000,239.436,0.159
2016-08-03 00:00:00,943.855,95.898,1.577,277.635,0.000,43.145,0.237
2016-08-03 03:00:00,838.760,86.068,456.310,278.913,0.000,74.984,0.343
2016-08-03 06:00:00,828.924,79.083,1735.568,280.165,0.001,188.284,1.154
2016-08-03 09:00:00,877.332,87.814,1731.758,280.245,0.002,210.170,1.629
2016-08-03 12:00:00,940.839,91.339,667.242,279.316,0.003,210.086,0.800
2016-08-03 15:00:00,906.155,93.582,31.013,279.049,0.000,206.007,0.452
2016-08-03 18:00:00,861.248,101.070,0.000,278.338,0.000,214.252,0.318
2016-08-03 21:00:00,960.678,98.777,0.000,277.977,0.000,353.542,0.274
2016-08-04 00:00:00,935.364,89.570,1.656,278.219,0.000,14.684,0.565
2016-08-04 03:00:00,836.104,81.096,453.723,278.901,0.000,43.296,0.586
2016-08-04 06:00:00,836.852,70.073,1680.377,281.303,0.000,215.388,0.780
2016-08-04 09:00:00,808.043,80.917,2034.726,281.059,0.001,209.343,0.835
2016-08-04 12:00:00,902.717,94.447,764.081,280.480,0.001,230.185,0.892
2016-08-04 15:00:00,968.561,99.671,31.398,279.660,0.000,237.795,0.325
2016-08-04 18:00:00,909.953,101.339,0.000,278.998,0.000,179.575,0.403
2016-08-04 21:00:00,963.707,98.090,0.000,278.508,0.001,339.841,0.263
2016-08-05 00:00:00,908.787,94.099,1.574,278.492,0.000,6.467,0.372
2016-08-05 03:00:00,878.645,85.025,450.439,279.147,0.000,17.840,0.732
2016-08-05 06:00:00,843.369,84.022,1713.779,281.262,0.000,190.737,1.157
2016-08-05 09:00:00,927.158,89.148,1694.081,281.378,0.002,211.578,1.516
2016-08-05 12:00:00,994.137,88.315,609.715,280.346,0.002,217.580,0.925
2016-08-05 15:00:00,908.813,98.800,28.502,279.253,0.000,225.796,0.551
2016-08-05 18:00:00,901.855,99.745,0.000,278.676,0.000,241.447,0.505
2016-08-05 21:00:00,944.161,96.905,0.000,278.143,0.000,300.784,0.179
2016-08-06 00:00:00,974.345,92.697,1.340,277.804,0.000,41.188,0.664
2016-08-06 03:00:00,935.455,84.463,411.753,278.742,0.000,44.043,0.757
2016-08-06 06:00:00,869.358,75.727,1591.387,280.231,0.000,186.535,1.456
2016-08-06 09:00:00,811.186,78.532,1702.426,280.777,0.002,194.301,1.654
2016-08-06 12:00:00,919.349,87.442,757.603,280.234,0.002,237.368,0.856
2016-08-06 15:00:00,937.265,92.513,32.743,279.458,0.001,210.117,0.770
2016-08-06 18:00:00,984.758,96.018,0.000,278.800,0.000,213.799,0.924
2016-08-06 21:00:00,954.551,95.688,0.000,278.224,0.000,150.881,0.105
2016-08-07 00:00:00,938.003,89.242,1.262,278.706,0.000,32.365,0.304
2016-08-07 03:00:00,888.373,85.291,439.781,279.197,0.000,165.053,0.482
2016-08-07 06:00:00,861.105,76.149,1482.131,280.390,0.001,186.926,1.390
2016-08-07 09:00:00,857.049,84.679,1760.220,281.021,0.002,213.892,1.697
2016-08-07 12:00:00,905.519,93.113,771.608,279.796,0.002,222.993,1.053
2016-08-07 15:00:00,933.759,97.739,30.902,278.907,0.001,207.518,0.789
2016-08-07 18:00:00,954.897,97.084,0.000,278.593,0.000,194.949,0.453
2016-08-07 21:00:00,948.359,97.210,0.000,277.873,0.000,206.710,0.041
2016-08-08 00:00:00,872.668,92.039,1.243,278.275,0.000,0.428,0.248
2016-08-08 03:00:00,886.571,80.856,441.422,279.498,0.000,71.136,0.365
2016-08-08 06:00:00,864.659,72.112,1485.075,280.681,0.001,188.187,1.271
2016-08-08 09:00:00,896.830,80.889,1375.379,280.306,0.002,207.628,1.495
2016-08-08 12:00:00,913.767,86.770,696.401,279.718,0.001,208.529,1.622
2016-08-08 15:00:00,951.152,96.148,28.950,278.779,0.001,222.672,0.631
2016-08-08 18:00:00,889.085,97.725,0.000,278.530,0.000,188.234,0.738
2016-08-08 21:00:00,928.159,97.881,0.000,278.176,0.001,207.477,0.556
2016-08-09 00:00:00,988.533,92.405,0.538,278.269,0.000,276.639,0.272
2016-08-09 03:00:00,910.763,83.195,416.688,279.272,0.000,179.911,0.964
2016-08-09 06:00:00,825.699,83.414,1407.170,279.615,0.001,194.161,1.483
2016-08-09 09:00:00,921.774,87.371,1511.741,280.073,0.002,208.609,1.784
